,Reference, Value, Footprint, Datasheet
x,C1,0.1uF,Capacitors_SMD:C_0603_HandSoldering,
x,C10,0.1uF,Capacitors_SMD:C_0603_HandSoldering,
x,C11,0.01uF,Capacitors_SMD:C_0603_HandSoldering,
x,C12,1uF,Capacitors_SMD:C_0603_HandSoldering,
x,C13,0.1uF,Capacitors_SMD:C_0603_HandSoldering,
x,C14,0.1uF,Capacitors_SMD:C_0603_HandSoldering,
x,C15,2200uF,OpenFence:Cap1017,
x,C16,4.7uF,Capacitors_SMD:C_0603_HandSoldering,
x,C17,0.1uF,Capacitors_SMD:C_0603_HandSoldering,
x,C18,0.1uF,Capacitors_SMD:C_0603_HandSoldering,
x,C19,4.7uF,Capacitors_SMD:C_0603_HandSoldering,
,C2,18pF,Capacitors_SMD:C_0603_HandSoldering,
x,C20,4.7uF,Capacitors_SMD:C_0603_HandSoldering,
x,C21,0.47uF,Capacitors_SMD:C_0603_HandSoldering,
x,C22,1uF,Capacitors_SMD:C_0603_HandSoldering,
x,C23,4.7uF,Capacitors_SMD:C_0603_HandSoldering,
x,C24,0.47uF,Capacitors_SMD:C_0603_HandSoldering,
x,C26,1uF,Capacitors_SMD:C_0603_HandSoldering,
x,C27,1uF,Capacitors_SMD:C_0603_HandSoldering,
x,C28,1uF,Capacitors_SMD:C_0603_HandSoldering,
x,C29,1uF,Capacitors_SMD:C_0603_HandSoldering,
,C3,18pF,Capacitors_SMD:C_0603_HandSoldering,
x,C30,47uF,Capacitors_SMD:C_1812_HandSoldering,
x,C31,0.1uF,Capacitors_SMD:C_0603_HandSoldering,
x,C4,0.1uF,Capacitors_SMD:C_0603_HandSoldering,
x,C5,0.01uF,Capacitors_SMD:C_0603_HandSoldering,
x,C6,0.1uF,Capacitors_SMD:C_0603_HandSoldering,
x,C7,4.7uF,Capacitors_SMD:C_0603_HandSoldering,
x,C8,1uF,Capacitors_SMD:C_0603_HandSoldering,
x,C9,0.1uF,Capacitors_SMD:C_0603_HandSoldering,
,D1,USBLC6-2,OpenFence:SOT666,
x,D2,SS24,Diodes_SMD:SMA_Handsoldering,
x,D3,SS24,Diodes_SMD:SMA_Handsoldering,
x,D4,SS24,Diodes_SMD:SMA_Handsoldering,
,J1,SMA-EDGE,RocketScreamKicadLibrary:RF-SMA-EDGE,
x,L1,600R @ 100MHz,RocketScreamKicadLibrary:IND-0805,
x,L2,600R @ 100MHz,RocketScreamKicadLibrary:IND-0805,
,P1,USB_OTG,OpenFence:USB-10118193-0001LF,
,P6,Battery,Pin_Headers:Pin_Header_Straight_1x03,
x,Q1,2N7002,TO_SOT_Packages_SMD:SOT-23_Handsoldering,
,R1,10K,Resistors_SMD:R_0603_HandSoldering,
,R10,100K,Resistors_SMD:R_0603_HandSoldering,
,R12,10K,Resistors_SMD:R_0603_HandSoldering,
,R14,270K,Resistors_SMD:R_0603_HandSoldering,
,R15,100K,Resistors_SMD:R_0603_HandSoldering,
,R17,1K,Resistors_SMD:R_0603_HandSoldering,
,R18,50K,Resistors_SMD:R_0603_HandSoldering,
,R19,100K,Resistors_SMD:R_0603_HandSoldering,
,R2,330,Resistors_SMD:R_0603_HandSoldering,
,R20,330,Resistors_SMD:R_0603_HandSoldering,
,R3,10K,Resistors_SMD:R_0603_HandSoldering,
,R4,10K,Resistors_SMD:R_0603_HandSoldering,
,R5,10K,Resistors_SMD:R_0603_HandSoldering,
,R6,1M,Resistors_SMD:R_0603_HandSoldering,
,R7,1K,Resistors_SMD:R_0603_HandSoldering,
,R8,1K,Resistors_SMD:R_0603_HandSoldering,
,R9,1K,Resistors_SMD:R_0603_HandSoldering,
,,,,
x,SW1,SW_PUSH,Buttons_Switches_SMD:SW_SPST_FSMSM,
,U1,MPU9250,OpenFence:MPU9250,
,U2,SAMD21G,Housings_QFP:TQFP-48_7x7mm_Pitch0.5mm,
x,U3,PA6C,OpenFence:PA6C,
x,U4,S25FL116K,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
,U5,RF95W,RocketScreamKicadLibrary:RFM9xW,
,U6,MCP73871,Housings_DFN_QFN:QFN-20-1EP_4x4mm_Pitch0.5mm,
,U7,MAX5387,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,
,U8,MCP1700T-3302E/MB,TO_SOT_Packages_SMD:SOT89-3_Housing_Handsoldering,
,U9,PAM8403,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,
,Y1,32.768kHz,OpenFence:FC-135,
